job_position,technology_skills,knowledge,skills
,Email software; Microsoft Outlook Graphics or photo imaging software,Engineering and Technology,Active Learning
,ACD Systems Canvas; Adobe Systems Adobe Photoshop ,,Monitoring
,Corel CorelDraw Graphics Suite; Golden Software Voxler Information retrieval or search software,,Complex Problem Solving
,DOC Cop; iParadigms Turnitin Internet browser software,,Judgment and Decision Making
,Web browser software Map creation software,,Time Management
,ESRI ArcGIS software ,,Mathematics
,ESRI ArcInfo; Geosoft Oasis montaj Office suite software,,Social Perceptiveness
,Microsoft Office Optical character reader OCR or scanning software,,Systems Analysis
,Image scanning software Presentation software,,Systems Evaluation
,Microsoft PowerPoint Spreadsheet software,,Coordination
,Microsoft Excel Word processing software,,Management of Personnel Resources
,Collaborative editing software; Google Docs; Microsoft Word ,,Persuasion
,,,Service Orientation
"Biological Science Teachers, Postsecondary",Analytical or scientific software,Biology,Speaking
,SAS ,Education and Training,Learning Strategies
,The MathWorks MATLAB ,English Language,Reading Comprehension
,The Protein Investigator; The Virtual Genetics Lab  (see all 13 examples)Calendar and scheduling softwareComputer based training software,Chemistry,Writing
,Blackboard Learn; Learning management system LMS; Moodle; Sakai CLE  (see all 6 examples)Data base user interface and query software,Mathematics,Active Listening
,Blackboard ,Computers and Electronics,Instructing
,Data entry software Development environment software,,Science
,National Instruments LabVIEW Electronic mail software,,Active Learning
,Email software; Microsoft Outlook Graphics or photo imaging software,,Complex Problem Solving
,Graphics creation software Information retrieval or search software,,Critical Thinking
,DOC Cop; iParadigms Turnitin Internet browser software,,Monitoring
,Web browser software Map creation software,,Judgment and Decision Making
,Geographic information system GIS software Office suite software,,Time Management
,Microsoft Office Optical character reader OCR or scanning software,,Social Perceptiveness
,Image scanning software Presentation software,,Coordination
,Microsoft PowerPoint Spreadsheet software,,Service Orientation
,Microsoft Excel Word processing software,,Systems Analysis
,Collaborative editing software; Google Docs; Microsoft Word ,,Systems Evaluation
"Business Teachers, Postsecondary",Accounting software,Education and Training,Speaking
,Sage 50 Accounting Analytical or scientific software,English Language,Reading Comprehension
,SAS ,Administration and Management,Instructing
,SPSS; StataCorp Stata Calendar and scheduling softwareComputer based training software,Economics and Accounting,Active Listening
,Almaris E-Learning Systems Financial Accounting Tutor; Blackboard ,Customer and Personal Service,Critical Thinking
,Instructure Canvas; Learning management system LMS  (see all 8 examples)Data base user interface and query software,Sales and Marketing,Learning Strategies
,Data entry software Electronic mail software,Communications and Media,Writing
,Email software; Google Gmail; Microsoft Outlook Information retrieval or search software,Psychology,Active Learning
,DOC Cop; Google Scholar; iParadigms Turnitin Internet browser software,Mathematics,Complex Problem Solving
,Web browser software Object or component oriented development software,Sociology and Anthropology,Judgment and Decision Making
,R Office suite software,Personnel and Human Resources,Monitoring
,Microsoft Office Optical character reader OCR or scanning software,Computers and Electronics,Time Management
,Image scanning software Presentation software,Law and Government,Social Perceptiveness
,Microsoft PowerPoint Spreadsheet software,,Coordination
,Microsoft Excel Web platform development software,,Mathematics
,Hypertext markup language HTML Word processing software,,Persuasion
,Collaborative editing software; Google Docs; Microsoft Word ,,Systems Analysis
,,,Systems Evaluation
"Career/Technical Education Teachers, Middle School",Calendar and scheduling softwareComputer based training software,English Language,Speaking
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Education and Training,Active Listening
,Data entry software Electronic mail software,Psychology,Instructing
,Email software; Microsoft Outlook Information retrieval or search software,Computers and Electronics,Learning Strategies
,DOC Cop; iParadigms Turnitin Internet browser software,Clerical,Reading Comprehension
,Web browser software Office suite software,Administration and Management,Critical Thinking
,Microsoft Office Optical character reader OCR or scanning software,Customer and Personal Service,Monitoring
,Image scanning software Presentation software,Engineering and Technology,Social Perceptiveness
,Microsoft PowerPoint Spreadsheet software,Public Safety and Security,Writing
,Microsoft Excel Word processing software,Mathematics,Active Learning
,Collaborative editing software; Google Docs; Microsoft Word ,,Coordination
,,,Judgment and Decision Making
,,,Complex Problem Solving
,,,Service Orientation
,,,Systems Analysis
,,,Systems Evaluation
,,,Time Management
"Career/Technical Education Teachers, Secondary School",Calendar and scheduling softwareComputer aided design CAD software  ,Customer and Personal Service,Instructing
,Autodesk AutoCAD Civil 3D Computer based training software,Education and Training,Active Listening
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,English Language,Reading Comprehension
,Data entry software Electronic mail software,Computers and Electronics,Speaking
,Email software; Microsoft Outlook Information retrieval or search software,Clerical,Critical Thinking
,DOC Cop; iParadigms Turnitin Internet browser software,Administration and Management,Learning Strategies
,Web browser software Office suite software,Psychology,Monitoring
,Microsoft Office Optical character reader OCR or scanning software,Communications and Media,Writing
,Image scanning software Presentation software,Personnel and Human Resources,Complex Problem Solving
,Microsoft PowerPoint Spreadsheet software,Public Safety and Security,Coordination
,Microsoft Excel Word processing software,Mathematics,Service Orientation
,Collaborative editing software; Google Docs; Microsoft Word ,Law and Government,Social Perceptiveness
,,,Active Learning
,,,Judgment and Decision Making
,,,Time Management
,,,Persuasion
,,,Systems Evaluation
,,,Negotiation
"Chemistry Teachers, Postsecondary",Analytical or scientific software,Chemistry,Speaking
,OriginLab Origin; PerkinElmer ChemOffice ChemDraw; PerkinElmer ChemOffice Suite; Wavefunction Spartan  (see all 9 examples)Calendar and scheduling softwareComputer based training software,Education and Training,Active Listening
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Mathematics,Critical Thinking
,Data entry software Electronic mail software,English Language,Reading Comprehension
,Email software; Microsoft Outlook Information retrieval or search software,Physics,Science
,DOC Cop; iParadigms Turnitin Internet browser software,Computers and Electronics,Writing
,Web browser software Office suite software,Biology,Active Learning
,Microsoft Office Optical character reader OCR or scanning software,Engineering and Technology,Instructing
,Image scanning software Presentation software,,Learning Strategies
,Microsoft PowerPoint Spreadsheet software,,Complex Problem Solving
,Microsoft Excel Word processing software,,Monitoring
,Collaborative editing software; Google Docs; Microsoft Word ,,Judgment and Decision Making
,,,Coordination
,,,Mathematics
,,,Social Perceptiveness
,,,Systems Analysis
,,,Systems Evaluation
,,,Service Orientation
Coaches and Scouts,Analytical or scientific software,Education and Training,Instructing
,Motion analysis software; Statistical software; Video analysis software Calendar and scheduling software,Customer and Personal Service,Speaking
,Scheduling software Data base user interface and query software,English Language,Management of Personnel Resources
,Online registration software; Performance database software Data conversion software,Psychology,Monitoring
,Video file conversion software Desktop publishing software,Administration and Management,Judgment and Decision Making
,Microsoft Publisher Electronic mail software,Sales and Marketing,Learning Strategies
,Microsoft Outlook Graphics or photo imaging software,Clerical,Active Listening
,Graphics creation software Instant messaging software,Personnel and Human Resources,Complex Problem Solving
,Twitter Internet browser software,,Coordination
,Web browser software Object or component oriented development software,,Critical Thinking
,C++ Office suite software,,Social Perceptiveness
,Microsoft Office Presentation software,,Time Management
,Microsoft PowerPoint Spreadsheet software,,Persuasion
,Microsoft Excel Video creation and editing software,,Systems Evaluation
,Video editing software; YouTube Web page creation and editing software,,Active Learning
,Facebook ,,Negotiation
,Website creation software Word processing software,,Reading Comprehension
,Microsoft Word ,,Service Orientation
,,,Systems Analysis
,,,Writing
"Communications Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software,English Language,Instructing
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Education and Training,Speaking
,Blackboard ,Communications and Media,Active Listening
,Data entry software Development environment software,Customer and Personal Service,Critical Thinking
,Adobe Systems Adobe Creative Suite Document management software,Administration and Management,Learning Strategies
,Adobe Systems Adobe Acrobat Electronic mail software,Psychology,Reading Comprehension
,Email software; Microsoft Outlook Graphics or photo imaging software,Sociology and Anthropology,Writing
,Adobe Systems Adobe Photoshop Information retrieval or search software,Computers and Electronics,Active Learning
,DOC Cop; iParadigms Turnitin Internet browser software,Law and Government,Monitoring
,Web browser software Music or sound editing software,,Complex Problem Solving
,Adobe Systems Adobe Audition; Audacity; Avid Technology Pro Tools; WideOrbit Office suite software,,Judgment and Decision Making
,Microsoft Office Optical character reader OCR or scanning software,,Social Perceptiveness
,Image scanning software Presentation software,,Coordination
,Microsoft PowerPoint Spreadsheet software,,Time Management
,Microsoft Excel Video creation and editing software,,Persuasion
,Apple Final Cut Pro ,,Service Orientation
,Avid Technology Media Composer; Video editing software; Video production software Word processing software,,Systems Analysis
,Collaborative editing software; Google Docs; Microsoft Word ,,Systems Evaluation
"Computer Science Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software,Education and Training,Instructing
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Computers and Electronics,Speaking
,Blackboard ,English Language,Reading Comprehension
,Data entry software ,Mathematics,Writing
,Database software; Microsoft Access Development environment software,Engineering and Technology,Critical Thinking
,C ,Telecommunications,Learning Strategies
,Microsoft Visual Basic ,Design,Active Learning
,Programming languages; Software development tools Electronic mail software,,Judgment and Decision Making
,Email software; Microsoft Outlook Graphics or photo imaging software,,Active Listening
,Adobe Systems Adobe Photoshop Information retrieval or search software,,Complex Problem Solving
,DOC Cop; iParadigms Turnitin Internet browser software,,Monitoring
,Web browser software Network security and virtual private network VPN equipment software,,Social Perceptiveness
,Firewall software; Network intrusion detection software Network security or virtual private network VPN management software,,Time Management
,Virtual private networking VPN software Object or component oriented development software,,Mathematics
,C# ,,Coordination
,C++ ,,Systems Evaluation
,Microsoft Visual Basic.NET; Python  (see all 5 examples)Object oriented data base management software,,Systems Analysis
,Object oriented programming software Office suite software,,
,Microsoft Office Operating system software,,
,Linux ,,
,UNIX Presentation software,,
,Microsoft PowerPoint Spreadsheet software,,
,Microsoft Excel Video creation and editing software,,
,Adobe Systems Adobe Premiere Pro Web page creation and editing software,,
,Adobe Systems Adobe Dreamweaver Web platform development software,,
,Hypertext markup language HTML ,,
,PHP: Hypertext Preprocessor Word processing software,,
,Collaborative editing software; Google Docs; Microsoft Word ,,
"Criminal Justice and Law Enforcement Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software,Law and Government,Speaking
,Blackboard Learn; Distance learning software; Learning management system LMS; Sakai CLE  (see all 6 examples)Data base user interface and query software,Education and Training,Critical Thinking
,Blackboard ,English Language,Active Learning
,Data entry software ,Public Safety and Security,Active Listening
,National Crime Information Center NCIC Electronic mail software,Sociology and Anthropology,Instructing
,Email software; Microsoft Outlook Information retrieval or search software,Psychology,Learning Strategies
,DOC Cop; iParadigms Turnitin Internet browser software,Computers and Electronics,Reading Comprehension
,Web browser software Office suite software,Communications and Media,Writing
,Microsoft Office Optical character reader OCR or scanning software,Clerical,Judgment and Decision Making
,Image scanning software Presentation software,Customer and Personal Service,Monitoring
,Microsoft PowerPoint Spreadsheet software,Administration and Management,Complex Problem Solving
,Microsoft Excel Word processing software,,Time Management
,Collaborative editing software; Google Docs; Microsoft Word ,,Systems Analysis
,,,Coordination
,,,Persuasion
,,,Service Orientation
,,,Social Perceptiveness
"Economics Teachers, Postsecondary",Analytical or scientific software,Economics and Accounting,Active Listening
,Insightful S-PLUS; Minitab ,Mathematics,Instructing
,The MathWorks MATLAB ,English Language,Reading Comprehension
,Time series modeling TSM software  (see all 14 examples)Calendar and scheduling softwareComputer based training software,Computers and Electronics,Speaking
,Blackboard Learn; Learning management system LMS; Moodle; Sakai CLE  (see all 6 examples)Data base user interface and query software,Education and Training,Critical Thinking
,Data entry software ,Law and Government,Writing
,Microsoft Access Electronic mail software,,Learning Strategies
,Email software; Microsoft Outlook Financial analysis software,,Active Learning
,JessX Information retrieval or search software,,Complex Problem Solving
,DOC Cop; iParadigms Turnitin Internet browser software,,Mathematics
,Web browser software Object or component oriented development software,,Social Perceptiveness
,R ,,Judgment and Decision Making
,Sun Microsystems Java Office suite software,,Monitoring
,Microsoft Office Optical character reader OCR or scanning software,,Coordination
,Image scanning software Presentation software,,Systems Analysis
,Microsoft PowerPoint Spreadsheet software,,Systems Evaluation
,Microsoft Excel Word processing software,,Time Management
,Collaborative editing software; Google Docs; Microsoft Word ,,
"Education Teachers, Postsecondary",Analytical or scientific software,Education and Training,Speaking
,SAS Calendar and scheduling softwareComputer based training software,English Language,Reading Comprehension
,Blackboard Learn; Learning management system LMS; Padlet; VoiceThread  (see all 7 examples)Data base user interface and query software,Psychology,Writing
,Blackboard ,Customer and Personal Service,Active Learning
,Data entry software Electronic mail software,Sociology and Anthropology,Active Listening
,Email software; Microsoft Outlook Information retrieval or search software,Clerical,Instructing
,DOC Cop; iParadigms Turnitin Internet browser software,Law and Government,Learning Strategies
,Web browser software Office suite software,Computers and Electronics,Critical Thinking
,Microsoft Office Optical character reader OCR or scanning software,Administration and Management,Complex Problem Solving
,Image scanning software Presentation software,Therapy and Counseling,Monitoring
,Microsoft PowerPoint Spreadsheet software,,Time Management
,Microsoft Excel Word processing software,,Coordination
,Collaborative editing software; Editing software; Google Docs; Microsoft Word ,,Judgment and Decision Making
,,,Social Perceptiveness
,,,Systems Analysis
,,,Management of Personnel Resources
,,,Service Orientation
,,,Systems Evaluation
"Elementary School Teachers, Except Special Education",Computer based training software,Education and Training,Instructing
,Children's educational software Electronic mail software,English Language,Speaking
,Email software; Microsoft Outlook Graphics or photo imaging software,Mathematics,Learning Strategies
,Graphics software Internet browser software,Psychology,Active Listening
,Web browser software Office suite software,Computers and Electronics,Critical Thinking
,Microsoft Office Presentation software,Customer and Personal Service,Reading Comprehension
,Microsoft PowerPoint Project management software,Clerical,Coordination
,Microsoft SharePoint Spreadsheet software,History and Archeology,Monitoring
,Microsoft Excel Word processing software,,Social Perceptiveness
,Microsoft Word ,,Writing
,,,Active Learning
,,,Judgment and Decision Making
,,,Service Orientation
,,,Time Management
,,,Complex Problem Solving
,,,Systems Analysis
,,,Systems Evaluation
,,,Negotiation
,,,Persuasion
"Engineering Teachers, Postsecondary",Analytical or scientific software,Engineering and Technology,Reading Comprehension
,Finite element analysis software; The MathWorks MATLAB Calendar and scheduling softwareComputer aided design CAD software  ,Mathematics,Active Listening
,Autodesk AutoCAD ,Physics,Instructing
,Autodesk Revit ,English Language,Writing
,Dassault Systemes CATIA ,Education and Training,Speaking
,PTC Creo Parametric  (see all 5 examples)Computer aided manufacturing CAM software Computer based training software,Design,Learning Strategies
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Computers and Electronics,Critical Thinking
,Data entry software Electronic mail software,Chemistry,Mathematics
,Email software; Microsoft Outlook Information retrieval or search software,Administration and Management,Science
,DOC Cop; iParadigms Turnitin Internet browser software,Mechanical,Judgment and Decision Making
,Web browser software Office suite software,Communications and Media,Active Learning
,Microsoft Office Optical character reader OCR or scanning software,,Complex Problem Solving
,Image scanning software Presentation software,,Monitoring
,Microsoft PowerPoint Spreadsheet software,,Social Perceptiveness
,Microsoft Excel Word processing software,,Systems Analysis
,Collaborative editing software; Google Docs; Microsoft Word ,,Systems Evaluation
,,,Time Management
,,,Coordination
,,,Negotiation
,,,Persuasion
"English Language and Literature Teachers, Postsecondary",Calendar and scheduling softwareCharting software,English Language,Reading Comprehension
,Lucidchart Computer based training software,Education and Training,Instructing
,Blackboard Collaborate; Blackboard Learn; Learning management system LMS; Sakai CLE  (see all 6 examples)Data base user interface and query software,Communications and Media,Speaking
,Blackboard ,Philosophy and Theology,Writing
,Data entry software Document management software,Sociology and Anthropology,Active Listening
,Adobe Systems Adobe Reader Electronic mail software,Computers and Electronics,Learning Strategies
,Email software; Microsoft Outlook Graphics or photo imaging software,Psychology,Active Learning
,Adobe Systems Adobe Illustrator ,Customer and Personal Service,Critical Thinking
,Adobe Systems Adobe Photoshop ,,Monitoring
,Graphics creation software Information retrieval or search software,,Complex Problem Solving
,DOC Cop; iParadigms Turnitin Internet browser software,,Judgment and Decision Making
,Apple Safari; Google Chrome; Web browser software Music or sound editing software,,Service Orientation
,VLC Media Player Office suite software,,Social Perceptiveness
,Microsoft Office Optical character reader OCR or scanning software,,Time Management
,Image scanning software Presentation software,,Coordination
,Microsoft PowerPoint Spreadsheet software,,
,Microsoft Excel Video creation and editing software,,
,Apple QuickTime Word processing software,,
,Collaborative editing software; Google Docs; Microsoft Word ,,
"Environmental Science Teachers, Postsecondary",Calendar and scheduling softwareComputer aided design CAD software  ,Education and Training,Instructing
,Autodesk AutoCAD Computer based training software,English Language,Reading Comprehension
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Geography,Science
,Data entry software Document management software,Biology,Speaking
,Adobe Systems Adobe Acrobat Electronic mail software,Computers and Electronics,Writing
,Email software; Microsoft Outlook Information retrieval or search software,Mathematics,Active Learning
,DOC Cop; iParadigms Turnitin Internet browser software,Communications and Media,Active Listening
,Web browser software Map creation software,Customer and Personal Service,Critical Thinking
,ESRI ArcGIS software ,Administration and Management,Learning Strategies
,Geographic information system GIS systems Office suite software,Physics,Monitoring
,Microsoft Office Optical character reader OCR or scanning software,,Complex Problem Solving
,Image scanning software Presentation software,,Judgment and Decision Making
,Microsoft PowerPoint Spreadsheet software,,Time Management
,Microsoft Excel Word processing software,,Coordination
,Collaborative editing software; Google Docs; Microsoft Word ,,Management of Personnel Resources
,,,Mathematics
,,,Social Perceptiveness
,,,Persuasion
,,,Service Orientation
,,,Systems Analysis
,,,Systems Evaluation
Farm and Home Management Advisors,Data base user interface and query software,Education and Training,Active Listening
,Data entry software Electronic mail software,English Language,Speaking
,Microsoft Outlook Graphics or photo imaging software,Customer and Personal Service,Reading Comprehension
,Image editing software Internet browser software,Biology,Active Learning
,Microsoft Internet Explorer; Web browser software Map creation software,Food Production,Complex Problem Solving
,ESRI ArcGIS software ,Communications and Media,Coordination
,Geographic information system GIS software Office suite software,Administration and Management,Instructing
,Microsoft Office Presentation software,Mathematics,Judgment and Decision Making
,Microsoft PowerPoint Spreadsheet software,Computers and Electronics,Learning Strategies
,Microsoft Excel Word processing software,Chemistry,Service Orientation
,Microsoft Word ,Clerical,Writing
,,Psychology,Critical Thinking
,,,Social Perceptiveness
,,,Systems Analysis
,,,Systems Evaluation
,,,Time Management
,,,Monitoring
,,,Persuasion
,,,Management of Personnel Resources
,,,Negotiation
"Foreign Language and Literature Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software,English Language,Speaking
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Foreign Language,Instructing
,Blackboard ,Education and Training,Reading Comprehension
,Data entry software Desktop communications software,History and Archeology,Active Listening
,Skype Desktop publishing software,Sociology and Anthropology,Writing
,Adobe Systems Adobe PageMaker; QuarkXpress Dictionary software,Philosophy and Theology,Critical Thinking
,American Sign Language ASL browser Electronic mail software,,Learning Strategies
,Email software; Microsoft Outlook Foreign language software,,Active Learning
,Computer assisted language learning CALL software Graphics or photo imaging software,,Monitoring
,Adobe Systems Adobe Illustrator ,,Complex Problem Solving
,Adobe Systems Adobe Photoshop Information retrieval or search software,,Judgment and Decision Making
,DOC Cop; iParadigms Turnitin Internet browser software,,Social Perceptiveness
,Web browser software Music or sound editing software,,Coordination
,Audacity Office suite software,,Time Management
,Microsoft Office Optical character reader OCR or scanning software,,Service Orientation
,Image scanning software Presentation software,,Systems Analysis
,Microsoft PowerPoint Spreadsheet software,,Systems Evaluation
,Microsoft Excel Word processing software,,
,Collaborative editing software; Google Docs; Microsoft Word ,,
"Forestry and Conservation Science Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software,Education and Training,Speaking
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Biology,Active Listening
,Data entry software Electronic mail software,English Language,Instructing
,Email software; Microsoft Outlook Information retrieval or search software,Mathematics,Reading Comprehension
,DOC Cop; iParadigms Turnitin Internet browser software,Computers and Electronics,Writing
,Web browser software Map creation software,Administration and Management,Learning Strategies
,ESRI ArcGIS software ,Communications and Media,Critical Thinking
,Geographic information system GIS software ,Geography,Active Learning
,Leica Geosystems ERDAS IMAGINE software Office suite software,Chemistry,Complex Problem Solving
,Microsoft Office Optical character reader OCR or scanning software,Engineering and Technology,Monitoring
,Image scanning software Presentation software,,Coordination
,Microsoft PowerPoint Spreadsheet software,,Science
,Microsoft Excel Word processing software,,Social Perceptiveness
,Collaborative editing software; Google Docs; Microsoft Word ,,Judgment and Decision Making
,,,Service Orientation
,,,Systems Analysis
,,,Systems Evaluation
,,,Time Management
,,,Management of Personnel Resources
,,,Persuasion
"Geography Teachers, Postsecondary",Analytical or scientific software,Geography,Instructing
,ESRI ArcGIS Geostatistical Analyst; IBM SPSS Statistics ,English Language,Speaking
,ITT Exelis Visual Information Solutions ENVI; The MathWorks MATLAB  (see all 6 examples)Calendar and scheduling softwareComputer aided design CAD software  ,Education and Training,Critical Thinking
,ESRI ArcView 3D Analyst Computer based training software,Computers and Electronics,Learning Strategies
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Mathematics,Reading Comprehension
,Data entry software Desktop publishing software,Biology,Writing
,Microsoft Publisher Development environment software,Sociology and Anthropology,Active Listening
,Adobe Systems Adobe Creative Suite; Interface definition language IDL Document management software,History and Archeology,Active Learning
,Adobe Systems Adobe Reader Electronic mail software,,Complex Problem Solving
,Email software; Microsoft Outlook Information retrieval or search software,,Monitoring
,DOC Cop; iParadigms Turnitin Internet browser software,,Judgment and Decision Making
,Microsoft Internet Explorer; Mozilla Firefox; Web browser software Map creation software,,Science
,Caliper Maptitude; Clark Labs CartaLinx; Clark Labs IDRISI; ESRI ArcView  (see all 8 examples)Office suite software,,Social Perceptiveness
,Microsoft Office Optical character reader OCR or scanning software,,Time Management
,Image scanning software Presentation software,,Coordination
,Microsoft PowerPoint Spreadsheet software,,Management of Personnel Resources
,Microsoft Excel Word processing software,,
,Collaborative editing software; Google Docs; Microsoft Word ,,
Graduate Teaching Assistants,Analytical or scientific software,,Reading Comprehension
,IBM SPSS Statistics ,,Active Listening
,SAS Calendar and scheduling softwareComputer based training software,,Instructing
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,,Speaking
,Data entry software ,,Learning Strategies
,Structured query language SQL Electronic mail software,,Writing
,Email software; Microsoft Outlook Graphics or photo imaging software,,Complex Problem Solving
,Adobe Systems Adobe Photoshop Information retrieval or search software,,Coordination
,DOC Cop; iParadigms Turnitin Internet browser software,,Critical Thinking
,Web browser software Office suite software,,Monitoring
,Microsoft Office Optical character reader OCR or scanning software,,Service Orientation
,Image scanning software Presentation software,,Social Perceptiveness
,Microsoft PowerPoint Spreadsheet software,,Active Learning
,Microsoft Excel Word processing software,,Judgment and Decision Making
,Collaborative editing software; Google Docs; Microsoft Word ,,Time Management
"Health Specialties Teachers, Postsecondary",Analytical or scientific software,Education and Training,Speaking
,IBM SPSS Statistics ,English Language,Instructing
,SAS Calendar and scheduling softwareCompliance software,Medicine and Dentistry,Reading Comprehension
,Material safety data sheet MSDS software Computer based training software,Biology,Active Learning
,Adobe Systems Adobe Presenter; Articulate Rapid E-Learning Studio; Blackboard Learn; Learning management system LMS  (see all 7 examples)Data base user interface and query software,Customer and Personal Service,Active Listening
,Blackboard ,Mathematics,Critical Thinking
,Data entry software ,Psychology,Learning Strategies
,EcoLogic ADAM Indoor Air Quality and Analytical Data Management; Microsoft Access Electronic mail software,Therapy and Counseling,Writing
,Email software; Microsoft Outlook Graphics or photo imaging software,Communications and Media,Complex Problem Solving
,TechSmith Snagit Information retrieval or search software,Law and Government,Monitoring
,DOC Cop; iParadigms Turnitin Internet browser software,Physics,Judgment and Decision Making
,Web browser software Map creation software,Administration and Management,Time Management
,Geographic information system GIS software Medical software,Sociology and Anthropology,Science
,Dental software; Healthcare common procedure coding system HCPCS ,,Service Orientation
,InteractElsevier Netter's 3D Interactive Anatomy; Medical procedure coding software  (see all 6 examples)Multi-media educational software,,Social Perceptiveness
,Turning Technologies TurningPoint Office suite software,,Coordination
,Microsoft Office Optical character reader OCR or scanning software,,
,Image scanning software Presentation software,,
,Microsoft PowerPoint Spreadsheet software,,
,Microsoft Excel Word processing software,,
,Collaborative editing software; Google Docs; Microsoft Word ,,
"History Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software,History and Archeology,Speaking
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,English Language,Reading Comprehension
,Data entry software ,Education and Training,Active Listening
,Database software Electronic mail software,Geography,Critical Thinking
,Email software; Microsoft Outlook Information retrieval or search software,Philosophy and Theology,Instructing
,DOC Cop; iParadigms Turnitin Internet browser software,Communications and Media,Learning Strategies
,Web browser software Map creation software,Law and Government,Writing
,Geographic information system GIS software ,Sociology and Anthropology,Active Learning
,Map building software Office suite software,Computers and Electronics,Monitoring
,Microsoft Office Optical character reader OCR or scanning software,,Judgment and Decision Making
,Image scanning software Presentation software,,Time Management
,Microsoft PowerPoint Spreadsheet software,,Complex Problem Solving
,Microsoft Excel Web platform development software,,Coordination
,JavaScript Word processing software,,Social Perceptiveness
,Collaborative editing software; Google Docs; Microsoft Word ,,Persuasion
,,,Service Orientation
,,,Systems Analysis
,,,Systems Evaluation
"Home Economics Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software,English Language,Speaking
,Blackboard Learn; Desire2Learn; Learning management system LMS; Sakai CLE  (see all 5 examples)Data base user interface and query software,Education and Training,Active Listening
,Data entry software Electronic mail software,Sociology and Anthropology,Instructing
,Email software; Microsoft Outlook Information retrieval or search software,Psychology,Reading Comprehension
,DOC Cop; iParadigms Turnitin Internet browser software,Computers and Electronics,Critical Thinking
,Web browser software Office suite software,Administration and Management,Learning Strategies
,Microsoft Office Optical character reader OCR or scanning software,Communications and Media,Writing
,Image scanning software Presentation software,Clerical,Active Learning
,Microsoft PowerPoint Spreadsheet software,Customer and Personal Service,Monitoring
,Microsoft Excel Web page creation and editing software,Mathematics,Complex Problem Solving
,Social computing tools Word processing software,Personnel and Human Resources,Judgment and Decision Making
,Collaborative editing software; Google Docs; Microsoft Word ,Therapy and Counseling,Time Management
,,,Coordination
,,,Service Orientation
,,,Social Perceptiveness
,,,Systems Analysis
,,,Systems Evaluation
,,,Persuasion
"Kindergarten Teachers, Except Special Education",Computer based training software,Education and Training,Instructing
,Children's educational software Electronic mail software,English Language,Social Perceptiveness
,Microsoft Outlook Office suite software,Psychology,Active Listening
,Microsoft Office Presentation software,Mathematics,Learning Strategies
,Microsoft PowerPoint Spreadsheet software,Customer and Personal Service,Monitoring
,Microsoft Excel Word processing software,Public Safety and Security,Speaking
,Microsoft Word ,Sociology and Anthropology,Coordination
,,Clerical,Reading Comprehension
,,Computers and Electronics,Time Management
,,Therapy and Counseling,Service Orientation
,,Geography,Judgment and Decision Making
,,,Complex Problem Solving
,,,Active Learning
,,,Critical Thinking
,,,Persuasion
,,,Writing
,,,Negotiation
,,,Management of Personnel Resources
,,,Systems Evaluation
"Law Teachers, Postsecondary",Calendar and scheduling softwareComputer based training software,,Speaking
,Blackboard Learn; Learning management system LMS; Panopto; Piazza  (see all 9 examples)Data base user interface and query software,,Reading Comprehension
,Data entry software ,,Active Listening
,LexisNexis CaseMap Desktop publishing software,,Instructing
,Microsoft Publisher Document management software,,Learning Strategies
,CT Summation iBlaze; LexisNexis HotDocs Electronic mail software,,Active Learning
,Email software; Microsoft Outlook Graphics or photo imaging software,,Critical Thinking
,ACD Systems Canvas Information retrieval or search software,,Writing
,DOC Cop; iParadigms Turnitin; LexisNexis ,,Complex Problem Solving
,Thomson West Westlaw Internet browser software,,Judgment and Decision Making
,Web browser software Legal management software,,Monitoring
,Collateral Consequences Calculator; Thomson Reuters WestlawNext Litigator Office suite software,,Coordination
